min_samples,n,clusters,seconds
100,100,1,0.02144336700439453
100,600,3,0.060875654220581055
100,1100,4,0.14861130714416504
100,1600,5,0.27028560638427734
100,2100,6,0.35010313987731934
100,2600,6,0.466752290725708
100,3100,3,0.5675144195556641
100,3600,7,0.6861732006072998
100,4100,10,0.8118362426757812
100,4600,12,1.0312504768371582
100,5100,16,1.3214776515960693
100,5600,18,1.0033528804779053
100,6100,14,1.3334414958953857
100,6600,16,1.5239324569702148
100,7100,14,1.4371623992919922
100,7600,18,1.5279109477996826
100,8100,15,1.7713000774383545
100,8600,16,1.8630506992340088
100,9100,16,2.1322896480560303
100,9600,17,2.3646843433380127
100,10100,20,2.778567314147949
100,10600,30,2.0375523567199707
100,11100,23,2.2071306705474854
100,11600,32,2.4434967041015625
100,12100,21,2.6289308071136475
100,12600,27,2.8543989658355713
100,13100,22,3.604370355606079
100,13600,31,2.9211819171905518
100,14100,28,2.8683009147644043
100,14600,35,3.3001797199249268
100,15100,37,3.0917420387268066
100,15600,36,3.115676164627075
100,16100,42,3.701105833053589
100,16600,37,3.5278217792510986
100,17100,39,3.7190561294555664
100,17600,48,3.9843533039093018
100,18100,39,5.068467378616333
100,18600,43,5.166152477264404
100,19100,49,5.0973851680755615
100,19600,41,5.442413330078125
100,20100,41,5.99995756149292
100,20600,50,4.93990421295166
100,21100,53,4.880951642990112
100,21600,55,4.766266107559204
100,22100,58,5.284877300262451
100,22600,48,5.1302900314331055
100,23100,53,5.245973110198975
100,23600,52,5.774569272994995
100,24100,45,5.85637354850769
100,24600,56,5.82044792175293
100,25100,68,5.572108745574951
100,25600,66,6.01192831993103
100,26100,69,6.310136795043945
100,26600,63,6.832928895950317
100,27100,59,5.8224310874938965
100,27600,62,6.293605089187622
100,28100,63,6.1804893016815186
100,28600,62,6.646229982376099
100,29100,66,6.710057973861694
100,29600,69,6.5554726123809814
100,30100,79,7.2376549243927
100,30600,84,9.085113048553467
100,31100,57,7.453070878982544
100,31600,79,7.357329845428467
100,32100,83,7.211687803268433
100,32600,73,7.353339195251465
100,33100,75,7.936779022216797
100,33600,78,8.202069759368896
100,34100,70,7.885915279388428
100,34600,60,8.28983473777771
100,35100,85,8.291829109191895
100,35600,94,8.987969160079956
100,36100,87,8.181134223937988
100,36600,80,8.811407566070557
100,37100,101,8.443629264831543
100,37600,69,8.745583772659302
100,38100,94,8.426539659500122
100,38600,87,8.589034080505371
100,39100,94,10.295472860336304
100,39600,105,9.715025663375854
100,40100,104,9.672146558761597
100,40600,101,10.656514644622803
100,41100,95,7.703404664993286
100,41600,110,8.298807621002197
100,42100,104,8.655904769897461
100,42600,108,8.373613119125366
100,43100,109,8.757550716400146
100,43600,69,9.207348108291626
100,44100,120,9.651195764541626
100,44600,123,10.102989196777344
100,45100,97,9.377934217453003
100,45600,95,9.555450916290283
100,46100,124,9.61628770828247
100,46600,98,9.8765230178833
100,47100,126,11.348652362823486
100,47600,123,10.833035945892334
100,48100,126,9.938714981079102
100,48600,121,11.385481119155884
100,49100,112,11.33599328994751
100,49600,140,10.453052997589111
100,50100,139,10.68032169342041
100,50600,140,10.584343194961548
100,51100,142,11.196064949035645
100,51600,145,13.093988418579102
100,52100,137,13.867974758148193
100,52600,138,11.66680383682251
100,53100,149,12.3463294506073
100,53600,119,11.606076717376709
100,54100,168,11.916137456893921
100,54600,167,12.20935320854187
100,55100,139,11.842337369918823
100,55600,164,18.691797733306885
100,56100,131,17.275808572769165
100,56600,156,15.001898288726807
100,57100,153,16.131869792938232
100,57600,135,14.050433158874512
100,58100,182,14.153160333633423
100,58600,136,14.40037202835083
100,59100,171,14.755378007888794
100,59600,140,14.80586051940918
100,60100,179,14.576667070388794
100,60600,172,14.000563621520996
100,61100,168,14.69179105758667
100,61600,178,14.347139596939087
100,62100,175,14.528154373168945
100,62600,135,14.665780067443848
100,63100,176,14.397612810134888
100,63600,194,14.48302435874939
100,64100,167,15.059736251831055
100,64600,187,14.926360845565796
100,65100,189,14.62101125717163
100,65600,196,15.518508911132812
100,66100,190,15.127554416656494
100,66600,188,14.783915758132935
100,67100,188,14.927181005477905
100,67600,192,16.840980768203735
100,68100,197,16.973458290100098
100,68600,199,17.6957426071167
100,69100,199,16.07338857650757
100,69600,204,16.18661117553711
100,70100,194,18.59036874771118
100,70600,186,15.598242282867432
100,71100,200,16.605600118637085
100,71600,214,17.76150894165039
100,72100,200,18.38186812400818
100,72600,211,17.96201181411743
100,73100,207,17.718225240707397
100,73600,209,19.911762714385986
100,74100,219,19.807041883468628
100,74600,203,20.016560316085815
100,75100,214,19.57466435432434
100,75600,212,18.653094053268433
100,76100,226,18.81360960006714
100,76600,221,18.77392888069153
100,77100,237,20.331122159957886
